instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow,source
MountainCar-v0#0.05#0.0037142857142857147#0.007214285714285715,0.523021196320548,0.0320592094982007,0.1672240694775634,0.11,0.11,0.04,0.44,2.421325881752421,6.393676248112188,0.1413146534625674,-0.0,-0.0,1.0,0.130243005921993,-0.0,1.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,MountainCar
CartPole-v1#6.859999999999999#0.7#0.13#0.95#13.0,0.7699538097783778,0.0057362877410848,0.0021190476190476,0.06,0.06,0.09,0.09,1.86662142778156,3.694498936205819,0.8223264130295717,0.1137611973310724,0.0318317543406938,1.0,-0.0,0.027684267897791,1.0,1.0,-0.0,1.0,0.3974376792440131,0.5028971863770616,0.4208237874924644,CartPole
CartPole-v1#12.74#0.7#0.19#0.35#7.0,0.616891179067147,0.0035489255943389,0.0034747958362088,0.08,0.08,0.1,0.1,1.8826392120678133,5.353792751232804,0.8089753721919439,0.1639766232958473,0.1269523447274432,1.0,0.0985394276546914,0.6063770527113245,1.0,1.0,-0.0,1.0,0.8971666856094819,0.9395704062346204,0.7235174410251596,CartPole
CartPole-v1#0.98#0.7#0.13#0.05#7.0,0.4035882018923846,0.0023151730688394,0.012058182442515,0.09,0.1,0.13,0.13,1.4733855248259071,2.599617741437081,0.5675208771031817,1.0,0.1749654468750225,0.689665902035559,0.0498889505830094,0.3345132333888579,1.0,0.1689513840721355,1.0,1.0,1.0,0.4874407125438526,0.4234551707334196,CartPole
LunarLander-v2#21.42857142857143#1142.857142857143#1.0999999999999999,0.9836008497840244,0.0244075535205123,0.0,0.08,0.08,0.08,0.08,-0.824868933087911,-0.0860557477905472,0.5840571624192887,0.5168236455837297,1.0,0.8943493114861821,0.5607721931788775,0.6985978279586373,1.0,1.0,0.6114531426319282,-0.0,-0.0,-0.0,1.0,LunarLander
CartPole-v1#18.62#1.9#0.06999999999999999#0.05#13.0,0.4402026410461124,0.0051181150845234,0.0200025931234875,0.11,0.14,0.08,0.1,0.5848417264160692,-0.4660729569191901,0.6533350904470697,0.928273657381074,0.9113968708825032,1.0,0.4074846658739276,0.893705786323236,1.0,1.0,0.5464103721860286,0.7013827403497084,0.2368670031159213,0.7108028431777933,1.0,CartPole
LunarLander-v2#15.714285714285715#285.7142857142857#1.2999999999999998,0.9715148646826546,0.015242047439596,0.0,0.13,0.13,0.09,0.09,-1.8104424508345869,3.5171624621844,0.7235937949594071,0.3489072397005477,0.1981320031619717,1.0,1.0,0.9284840610381344,0.1839624069174479,1.0,-0.0,-0.0,-0.0,-0.0,1.0,LunarLander
CartPole-v1#12.74#0.7#0.06999999999999999#0.35#19.0,0.6022787484076357,0.0040688685097859,0.0086249201787994,0.07,0.07,0.06,0.1,1.4357073770503983,1.9245601091634492,0.7025852990519771,0.2812473529447356,0.6024481695774913,1.0,0.0990105952625508,0.3727669753330279,1.0,1.0,0.1690808021205054,1.0,0.5003948966481636,0.4009078674545007,0.2603019847900373,CartPole
CartPole-v1#6.859999999999999#0.1#0.01#0.65#1.0,0.6660557214417584,0.0036501407840462,0.003273378653174,0.09,0.09,0.1,0.1,2.4582845171756595,7.165792539633989,0.8075351299813891,-0.0,0.2836666452318178,1.0,-0.0,0.8284022463721519,1.0,1.0,-0.0,0.976562604784572,1.0,0.937228541509984,0.7658977857612604,CartPole
LunarLander-v2#38.57142857142857#857.1428571428571#0.8999999999999999,0.7057873602744449,0.0295531817193916,0.0,0.1,0.1,0.11,0.11,-0.0758911748880254,-0.4909282143151219,0.6053112112585706,0.958790621734268,0.8250434148703141,1.0,1.0,0.9855191266805976,0.8609818145096095,1.0,0.79827294855173,0.8653788190104519,0.6983611764454437,0.7888711026490629,1.0,LunarLander
